player_id,player_name,team_id,team_name,competition_id,season_id,role,minutes,metric,latent_dimension,raw_metric_value,selected_normalization,normalized_metric_value,oriented_metric_score,percentile_rank,role_benchmark_band,direction
157113,Badr Gaddarine,2839,Ittihad Tanger,1229,318,CB,1892.25,aerial_ratio,CB_D3,0.5833333333333334,winsorized_z_score,18.823176223356374,18.823176223356374,26.923076923076923,Poor,higher_is_better
139023,Amine Aboulfath,6994,Wydad Casablanca,1229,318,CB,1608.4166,aerial_ratio,CB_D3,0.55,winsorized_z_score,5.133593515460849,5.133593515460849,11.538461538461538,Poor,higher_is_better
313283,Tahar Ahmed Madeira El Khalej,11935,UTS Rabat,1229,318,CB,1015.96655,aerial_ratio,CB_D3,0.6578947368421053,winsorized_z_score,49.44461122785954,49.44461122785954,50.0,Average,higher_is_better
131244,Ismaël Kandouss,2762,RSB Berkane,1229,318,CB,2149.25,aerial_ratio,CB_D3,0.753968253968254,winsorized_z_score,88.90080198996442,88.90080198996442,84.61538461538461,Good,higher_is_better
419744,Driss El Jabali,6995,Maghreb Fès,1229,318,CB,1346.0168,aerial_ratio,CB_D3,0.5818181818181818,winsorized_z_score,18.20092246390655,18.20092246390655,23.076923076923077,Poor,higher_is_better
338916,Johnstone Omurwa,36099,KAC Marrakech,1229,318,CB,1145.9666,aerial_ratio,CB_D3,0.6444444444444445,winsorized_z_score,43.92074452116485,43.92074452116485,42.30769230769231,Average,higher_is_better
363239,Bilal Soufi,18552,Renaissance Zemamra,1229,318,CB,1606.9667,aerial_ratio,CB_D3,0.696969696969697,winsorized_z_score,65.49220818209113,65.49220818209113,69.23076923076923,Average,higher_is_better
138958,Mouad Bahsain,6992,Hassania Agadir,1229,318,CB,1506.3167,aerial_ratio,CB_D3,0.575,winsorized_z_score,15.400780546382464,15.400780546382464,19.230769230769234,Poor,higher_is_better
138958,Mouad Bahsain,2761,FUS Rabat,1229,318,CB,515.7833,aerial_ratio,CB_D3,0.5714285714285714,winsorized_z_score,13.934039541965085,13.934039541965085,15.384615384615385,Poor,higher_is_better
477678,Cheick Keita,2889,Olympique Dcheïra,1229,318,CB,1643.9834,aerial_ratio,CB_D3,0.7551020408163265,winsorized_z_score,89.36643405485881,89.36643405485881,88.46153846153845,Good,higher_is_better
523290,Achraf Zine,36100,US Yacoub El Mansour,1229,318,CB,1219.8333,aerial_ratio,CB_D3,0.6037735849056604,winsorized_z_score,27.217731657443235,27.217731657443235,30.76923076923077,Poor,higher_is_better
138871,Karim El Bounagat,25917,CODM Meknès,1229,318,CB,2001.0168,aerial_ratio,CB_D3,0.6666666666666666,winsorized_z_score,53.04713299309517,53.04713299309517,57.692307692307686,Average,higher_is_better
