role,player_id,player_name,flag,matches,minutes
MID,442288,Adnane Berdad,low_minutes_reliability,1,96.1
MID,442292,Abdellatif El Bajjani,insufficient_match_history,1,112.46667
MID,442292,Abdellatif El Bajjani,low_minutes_reliability,1,112.46667
MID,443951,Youness Akharraz,insufficient_match_history,1,88.7
MID,443951,Youness Akharraz,low_minutes_reliability,1,88.7
MID,446355,Ishak Zidani,insufficient_match_history,1,112.46667
MID,446355,Ishak Zidani,low_minutes_reliability,1,112.46667
MID,450709,J.Bakasu,insufficient_match_history,1,22.916666
MID,450709,J.Bakasu,low_minutes_reliability,1,22.916666
MID,477679,Redouane Oubidar,insufficient_match_history,1,96.683334
MID,477679,Redouane Oubidar,low_minutes_reliability,1,96.683334
MID,477680,Hamza Saoud,insufficient_match_history,1,37.983334
MID,477680,Hamza Saoud,low_minutes_reliability,1,37.983334
MID,477682,Ayoub Benaadi,insufficient_match_history,1,96.683334
MID,477682,Ayoub Benaadi,low_minutes_reliability,1,96.683334
MID,523308,Adil Khalloufi,insufficient_match_history,1,98.11667
MID,523308,Adil Khalloufi,low_minutes_reliability,1,98.11667
MID,523973,Hamza Rafa,insufficient_match_history,1,33.2
MID,523973,Hamza Rafa,low_minutes_reliability,1,33.2
MID,523996,Fred Ngoma,insufficient_match_history,2,175.64999999999998
MID,523996,Fred Ngoma,low_minutes_reliability,2,175.64999999999998
MID,7183,El Hacen,insufficient_match_history,1,96.1
MID,7183,El Hacen,low_minutes_reliability,1,96.1
MID,7717,Rayane Aabid,insufficient_match_history,2,164.900004
MID,7717,Rayane Aabid,high_volatility,2,164.900004
MID,7717,Rayane Aabid,low_minutes_reliability,2,164.900004
WINGER,132614,Walid Bentle,insufficient_match_history,1,22.9
WINGER,132614,Walid Bentle,low_minutes_reliability,1,22.9
WINGER,134249,Adam Ennaffati,insufficient_match_history,1,102.96667
WINGER,134249,Adam Ennaffati,low_minutes_reliability,1,102.96667
WINGER,138895,Abdelfattah Hadraf,insufficient_match_history,1,10.55
WINGER,138895,Abdelfattah Hadraf,low_minutes_reliability,1,10.55
WINGER,139001,Youssef Anouar,insufficient_match_history,1,88.0
WINGER,139001,Youssef Anouar,low_minutes_reliability,1,88.0
WINGER,139008,Amine Souane,insufficient_match_history,1,78.51667
WINGER,139008,Amine Souane,low_minutes_reliability,1,78.51667
WINGER,139017,Salah-eddine Benyachou,insufficient_match_history,1,66.36667
WINGER,139017,Salah-eddine Benyachou,low_minutes_reliability,1,66.36667
WINGER,139568,Youssef Zghoudi,insufficient_match_history,2,131.66667
WINGER,139568,Youssef Zghoudi,low_minutes_reliability,2,131.66667
