role_family,metric,n,mean,median,std,mad,iqr,cv,p5,p10,p25,p50,p75,p90,p95,min,max,missing_pct,outlier_pct,skewness,kurtosis,heavy_tails,multimodal,mode_count,modality_method,shapiro_stat,shapiro_p
MID,counterpressures_90,34,4.129455,3.9989409499999997,0.975967935345343,0.5929528,1.2563855750000004,0.23634303687662003,2.642923665,2.9748309600000002,3.535717375,3.9989409499999997,4.79210295,5.34253736,5.752586325,1.9134321,6.3163066,0.0,0.0,0.08906674931881688,0.04738203176628497,False,False,1,histogram_peaks=1;bins=5,0.992399864573061,0.9971478375247095
MID,key_passes_90,34,0.7054953823529411,0.524641685,0.4494542952808016,0.23552010499999998,0.549226815,0.6370761687791618,0.26667890299999997,0.285702892,0.410168255,0.524641685,0.95939507,1.1129955299999998,1.5101732649999986,0.23462702,2.1077507,0.0,5.88235294117647,1.5618808609612815,2.74093599373184,False,True,2,histogram_peaks=2;bins=5,0.8349985495429818,0.00013163212261540195
MID,obv_dribble_carry_90,34,0.05802982600000001,0.051121692999999996,0.028553610819033983,0.017849655,0.03505101,0.492050602030652,0.02144440195,0.0318528569,0.039228376249999995,0.051121692999999996,0.07427938625,0.09046677880000001,0.10403444339999998,0.013796075,0.14800431,0.0,2.941176470588235,1.101356554127606,1.6756146014458282,False,False,1,histogram_peaks=1;bins=5,0.9288044207594943,0.028876594063204555
MID,obv_pass_90,34,0.026049805555882356,0.0120454815,0.04039789060345568,0.020749946999999998,0.039482396824999995,1.5507943242337698,-0.022587361,-0.014566597199999998,0.000943867675,0.0120454815,0.040426264499999996,0.083286348,0.0928298234,-0.036128487,0.13942343,0.0,2.941176470588235,0.9091520040026304,0.5215866151621937,False,True,2,histogram_peaks=2;bins=5,0.9292403758154805,0.02973058409029795
MID,op_f3_passes_90,34,7.826375352941177,6.7818442999999995,3.3397735403729913,2.4274817000000004,4.5387739,0.42673311587565166,3.7762614549999998,4.02366572,5.3557386,6.7818442999999995,9.8945125,12.3575413,13.363718549999996,3.447976,15.632268,0.0,0.0,0.6676610689936412,-0.5302095279660621,False,True,2,histogram_peaks=2;bins=5,0.9282331004426763,0.027795946444690765
MID,op_passes_90,34,39.6914840882353,39.134501,8.919605459951436,6.389415499999998,12.032950499999998,0.22472340515469008,27.27763405,28.213224200000003,33.616600250000005,39.134501,45.64955075,49.850147199999995,53.493044549999986,23.311102,59.090416,0.0,0.0,0.2540368957794288,-0.49335483000511227,False,False,1,histogram_peaks=1;bins=5,0.9753618671056017,0.6230735763428883
MID,through_balls_90,34,0.09315616470588235,0.073670486,0.10473386931281795,0.073670486,0.16145911000000002,1.1242827529824713,0.0,0.0,0.0,0.073670486,0.16145911000000002,0.20224331799999998,0.2596585484999997,0.0,0.39876363,0.0,0.0,1.1671073670019347,1.2850422404067658,False,True,2,histogram_peaks=2;bins=5,0.8290775114252993,9.864440721305601e-05
WINGER,crossing_ratio,25,0.2871982554306072,0.2682926829268293,0.11284682846168236,0.06829268292682927,0.15294117647058825,0.3929230986883498,0.1564102564102564,0.16999999999999998,0.2,0.2682926829268293,0.35294117647058826,0.43963963963963965,0.4678362573099414,0.14285714285714285,0.5833333333333334,0.0,4.0,0.9327522948240841,0.4044586271371591,False,True,2,histogram_peaks=2;bins=5,0.9227199254689589,0.059108896798787565
WINGER,dribble_ratio,25,0.5091835744000001,0.5,0.14989705511525128,0.09090905999999999,0.17914436,0.29438705930740894,0.33181816000000003,0.363191496,0.4117647,0.5,0.59090906,0.6731182960000001,0.7754838719999997,0.14285715,0.8333333,0.0,4.0,0.05576800610819771,0.8962896372048297,False,False,1,histogram_peaks=1;bins=5,0.9703789758780854,0.654696731902557
WINGER,key_passes_90,25,1.1765433652,1.1769975,0.5162848511866838,0.4047867999999999,0.7034098,0.4388149782298256,0.599994834,0.657987286,0.7692953,1.1769975,1.4727051,1.68624726,1.8506624999999994,0.46777096,2.8671114,0.0,4.0,1.4597282074147087,3.5332765171482583,True,False,1,histogram_peaks=1;bins=5,0.8937798233593256,0.013465153554197347
WINGER,np_shots_90,25,1.6664799380000002,1.7421637,0.5545438631217138,0.36899990000000016,0.7058182,0.33276359977500897,0.7676107900000001,0.88627765,1.3731638,1.7421637,2.078982,2.32872228,2.4501587999999996,0.5945173,2.489876,0.0,0.0,-0.3502789966129284,-0.8386486909178186,False,True,2,histogram_peaks=2;bins=5,0.9582804199890315,0.3812906692555169
