role,player_id,player_name,similar_player_id,similar_player_name,cosine_similarity,euclidean_distance,similarity_score,shared_metrics_count,similarity_confidence,quality_flags,research_only,production_ready
GK,138841,Salaheddine Chihab,362445,Badreddine Abyir,92.770214,21.053266,92.770214,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,138841,Salaheddine Chihab,477675,Mohamed Idar,91.640619,22.295112,91.640619,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,138841,Salaheddine Chihab,522350,Mohamed Jemjami,97.842457,12.074858,97.842457,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,138841,Salaheddine Chihab,523287,Ismail Sayad,99.957403,2.392651,99.957403,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,138935,Rachid Ghanimi,138950,Mehdi Harrar,87.026464,37.105892,87.026464,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,138935,Rachid Ghanimi,138972,Mahdi Benabid,97.635028,10.852714,97.635028,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,138935,Rachid Ghanimi,138989,Mohamed Ferni,99.835164,2.440504,99.835164,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,138935,Rachid Ghanimi,139011,Ahmed Reda Tagnaouti,86.797238,28.964493,86.797238,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,138935,Rachid Ghanimi,139555,Aymane Majid,89.095627,32.326993,89.095627,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,138935,Rachid Ghanimi,139572,Amine El Ouaad,99.585764,4.142559,99.585764,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
