statsbomb_player_id,player_name,assigned_role,dominant_role,dominant_role_share,lineup_role_minutes,position_examples,season_minutes,threshold_minutes,eligible_for_initial_coefficients,experiment_008_status
442292,Abdellatif El Bajjani,MID,MID,1.0,112.46667,Center Defensive Midfield,1764.4001,900.0,True,available_population_recomputed_or_reused_from_role_resolution
139555,Aymane Majid,GK,GK,1.0,96.1,Goalkeeper,1386.4,600.0,True,available_population_recomputed_or_reused_from_role_resolution
151743,Mohamed Al Makahasi,MID,MID,1.0,102.96667,Right Center Midfield; Right Defensive Midfield,1844.75,900.0,True,available_population_recomputed_or_reused_from_role_resolution
313277,Mohamed Chemlal,MID,MID,1.0,31.85,Left Center Midfield,462.78336,900.0,False,available_population_recomputed_or_reused_from_role_resolution
46646,José Dembi,MID,MID,1.0,104.95,Center Defensive Midfield; Left Center Midfield,703.9167,900.0,False,available_population_recomputed_or_reused_from_role_resolution
523296,Youssef Legnibi,UNKNOWN,UNKNOWN,0.0,0.0,,466.0,,False,available_population_recomputed_or_reused_from_role_resolution
7242,Ange-Freddy Plumain,WINGER,WINGER,1.0,101.183334,Left Wing,544.25,750.0,False,available_population_recomputed_or_reused_from_role_resolution
503286,Mehdi Balouk,CF,CF,1.0,68.933334,Center Forward,1433.7333,750.0,True,available_population_recomputed_or_reused_from_role_resolution
522354,Akram El Hamdaoui,CB,CB,1.0,47.633335,Left Center Back,58.11667,900.0,False,available_population_recomputed_or_reused_from_role_resolution
314452,Zouhair Marour,CB,CB,1.0,98.11667,Left Center Back,2187.6167,900.0,True,available_population_recomputed_or_reused_from_role_resolution
27166,Álvaro David Montero Perales,UNKNOWN,UNKNOWN,0.0,0.0,,,,False,available_population_recomputed_or_reused_from_role_resolution
21648,Anas Tahiri,MID,MID,1.0,31.833334,Left Defensive Midfield; Center Attacking Midfield,1222.9333,900.0,True,available_population_recomputed_or_reused_from_role_resolution
312935,Amine Azri,WINGER,WINGER,0.7320234915628229,63.333332,Right Wing; Right Midfield; Right Defensive Midfield,831.3667,750.0,True,available_population_recomputed_or_reused_from_role_resolution
138872,Oussama Mahrous,MID,MID,1.0,206.68333,Right Defensive Midfield; Center Defensive Midfield,946.41675,900.0,True,available_population_recomputed_or_reused_from_role_resolution
406864,Hamza Malki,FB,FB,1.0,96.1,Left Back,1218.2834,900.0,True,available_population_recomputed_or_reused_from_role_resolution
138827,Achraf El Idrissi,MID,MID,1.0,31.783333,Center Attacking Midfield,874.5167,900.0,False,available_population_recomputed_or_reused_from_role_resolution
442286,Oussama Daoui,FB,FB,1.0,96.1,Right Back,1507.8333,900.0,True,available_population_recomputed_or_reused_from_role_resolution
34952,Soufyan Ahannach,WINGER,WINGER,0.846838181994749,80.98333,Left Wing; Right Center Midfield,1648.5166,750.0,True,available_population_recomputed_or_reused_from_role_resolution
28266,Rafael Santos Borré Maury,CF,CF,1.0,41.583332,Right Center Forward,,750.0,False,available_population_recomputed_or_reused_from_role_resolution
140867,Ismail Khafi,CF,CF,1.0,95.73332999999998,Center Forward,1004.94995,750.0,True,available_population_recomputed_or_reused_from_role_resolution
523293,Nassim Azzoubairi,FB,FB,1.0,89.0,Left Back,1764.2832,900.0,True,available_population_recomputed_or_reused_from_role_resolution
135851,Augusto de Jesus Corte Real Carneiro,FB,FB,1.0,86.433334,Left Back,1209.55,900.0,True,available_population_recomputed_or_reused_from_role_resolution
139572,Amine El Ouaad,GK,GK,1.0,190.1,Goalkeeper,2078.9502,600.0,True,available_population_recomputed_or_reused_from_role_resolution
407665,Soufiane Jazouli,WINGER,WINGER,1.0,50.6,Left Wing,140.8,750.0,False,available_population_recomputed_or_reused_from_role_resolution
523312,Brahim Mansouri,WINGER,WINGER,0.9862628199920874,29.416666,Left Center Midfield; Left Wing,1587.7167,750.0,True,available_population_recomputed_or_reused_from_role_resolution
143504,Oussama Lamlaoui,CF,CF,1.0,149.899994,Center Forward,813.4167,750.0,True,available_population_recomputed_or_reused_from_role_resolution
3032,Zinédine Machach,MULTI_ROLE,MID,0.6422842209045192,74.950001,Right Center Midfield; Left Center Forward; Right Midfield,624.0833,,False,available_population_recomputed_or_reused_from_role_resolution
6725,Zakaria Bakkali,MULTI_ROLE,FB,0.6564009544782263,27.600001,Center Back; Right Back; Right Wing Back,241.6,,False,available_population_recomputed_or_reused_from_role_resolution
314466,Mohamed Saoud,CB,CB,1.0,211.93333,Center Back; Right Center Back; Left Center Back,2195.433,900.0,True,available_population_recomputed_or_reused_from_role_resolution
207378,Younes Najjari,UNKNOWN,UNKNOWN,0.0,0.0,Left Center Forward,119.55,,False,available_population_recomputed_or_reused_from_role_resolution
207378,Younes Najjari,UNKNOWN,UNKNOWN,0.0,0.0,Left Center Forward,731.4666,,False,available_population_recomputed_or_reused_from_role_resolution
