role_family,metric,normalization_method,normalized_skewness,normalized_kurtosis,normalized_outlier_pct,normalization_quality_score,experiment_008_status
FB,ball_recoveries_90,winsorized_z_score,-0.2638099528166265,-1.109517811498193,0.0,0.818568858565723,not_recalibrated_full_population_unavailable
FB,box_cross_ratio,z_score,0.2485564561108976,-0.4096089412867263,0.0,0.4533609267542607,not_recalibrated_full_population_unavailable
FB,box_cross_ratio,robust_z_score,0.2485564561108975,-0.4096089412867267,0.0,0.4533609267542609,not_recalibrated_full_population_unavailable
FB,box_cross_ratio,percentile_rank,1.2932845851506093e-15,-1.2000000000000006,0.0,0.6000000000000016,not_recalibrated_full_population_unavailable
FB,box_cross_ratio,min_max,0.2485564561108986,-0.4096089412867258,0.0,0.4533609267542615,not_recalibrated_full_population_unavailable
FB,box_cross_ratio,log_transform,-0.0660766165417618,-0.388520536890506,0.0,0.2603368849870148,not_recalibrated_full_population_unavailable
FB,box_cross_ratio,quantile_transform,6.165711822454936e-11,5.313421546805898,8.695652173913043,3.0914933821602584,not_recalibrated_full_population_unavailable
FB,box_cross_ratio,winsorized_z_score,0.1874093730570613,-0.9081904168734772,0.0,0.6415045814938001,not_recalibrated_full_population_unavailable
FB,counterpressures_90,z_score,-0.0276831827308493,-1.4471353062868668,0.0,0.7512508358742828,not_recalibrated_full_population_unavailable
FB,counterpressures_90,robust_z_score,-0.027683182730849,-1.4471353062868677,0.0,0.7512508358742829,not_recalibrated_full_population_unavailable
FB,counterpressures_90,percentile_rank,-1.1316240120067832e-15,-1.2000000000000002,0.0,0.6000000000000012,not_recalibrated_full_population_unavailable
FB,counterpressures_90,min_max,-0.0276831827308499,-1.4471353062868673,0.0,0.7512508358742837,not_recalibrated_full_population_unavailable
FB,counterpressures_90,log_transform,-0.3471081192374183,-1.4178999749977663,0.0,1.0560581067363015,not_recalibrated_full_population_unavailable
FB,counterpressures_90,quantile_transform,6.165704190372072e-11,5.313421546805902,8.695652173913043,3.09149338216026,not_recalibrated_full_population_unavailable
FB,counterpressures_90,winsorized_z_score,-0.1109937117873282,-1.6300929574916982,0.0,0.9260401905331774,not_recalibrated_full_population_unavailable
FB,dribble_ratio,z_score,0.2942671782908755,-0.4404791922482007,0.0,0.5145067744149759,not_recalibrated_full_population_unavailable
FB,dribble_ratio,robust_z_score,0.2942671782908755,-0.4404791922482007,0.0,0.5145067744149759,not_recalibrated_full_population_unavailable
FB,dribble_ratio,percentile_rank,-0.0014382542225805,-1.1974491697726035,0.0,0.6001628391088824,not_recalibrated_full_population_unavailable
FB,dribble_ratio,min_max,0.2942671782908759,-0.4404791922482012,0.0,0.5145067744149765,not_recalibrated_full_population_unavailable
FB,dribble_ratio,log_transform,0.0298886435948436,-0.5873876974175936,0.0,0.3235824923036404,not_recalibrated_full_population_unavailable
FB,dribble_ratio,quantile_transform,6.162882924359976e-05,5.31784655224083,8.695652173913043,3.093767513645311,not_recalibrated_full_population_unavailable
FB,dribble_ratio,winsorized_z_score,0.0816890788223136,-0.95246517038538,0.0,0.5579216640150036,not_recalibrated_full_population_unavailable
FB,key_passes_90,z_score,0.3823047179076457,-0.1495941836075509,0.0,0.4571018097114211,not_recalibrated_full_population_unavailable
FB,key_passes_90,robust_z_score,0.3823047179076452,-0.1495941836075522,0.0,0.4571018097114214,not_recalibrated_full_population_unavailable
FB,key_passes_90,percentile_rank,-1.1737231195963212e-15,-1.1999999999999995,0.0,0.6000000000000011,not_recalibrated_full_population_unavailable
FB,key_passes_90,min_max,0.3823047179076448,-0.1495941836075522,0.0,0.4571018097114209,not_recalibrated_full_population_unavailable
FB,key_passes_90,log_transform,-0.0467217776333037,-0.1093666201196477,0.0,0.1014050876931276,not_recalibrated_full_population_unavailable
FB,key_passes_90,quantile_transform,6.165704895245971e-11,5.313421546805902,8.695652173913043,3.09149338216026,not_recalibrated_full_population_unavailable
FB,key_passes_90,winsorized_z_score,0.6220133282357715,-0.37979994270751,0.0,0.8119132995895265,not_recalibrated_full_population_unavailable
FB,obv_dribble_carry_90,z_score,1.2709421364365832,1.5128473915126612,8.695652173913043,2.462148440888566,not_recalibrated_full_population_unavailable
FB,obv_dribble_carry_90,robust_z_score,1.2709421364365827,1.5128473915126597,8.695652173913043,2.4621484408885648,not_recalibrated_full_population_unavailable
FB,obv_dribble_carry_90,percentile_rank,4.707206467355224e-17,-1.200000000000001,0.0,0.6000000000000005,not_recalibrated_full_population_unavailable
FB,obv_dribble_carry_90,min_max,1.2709421364365834,1.5128473915126603,8.695652173913043,2.4621484408885657,not_recalibrated_full_population_unavailable
FB,obv_dribble_carry_90,log_transform,1.2216760046125317,1.3804483099574671,8.695652173913043,2.346682768286917,not_recalibrated_full_population_unavailable
FB,obv_dribble_carry_90,quantile_transform,6.165686006828317e-11,5.313421546805902,8.695652173913043,3.09149338216026,not_recalibrated_full_population_unavailable
FB,obv_dribble_carry_90,winsorized_z_score,1.034048489652417,0.5720750541979278,8.695652173913043,1.754868625447033,not_recalibrated_full_population_unavailable
FB,obv_pass_90,z_score,-0.2396672342697093,0.1998243317523016,0.0,0.3395794001458602,not_recalibrated_full_population_unavailable
FB,obv_pass_90,robust_z_score,-0.2396672342697094,0.1998243317523012,0.0,0.3395794001458601,not_recalibrated_full_population_unavailable
FB,obv_pass_90,percentile_rank,-1.1888787983285545e-15,-1.200000000000001,0.0,0.6000000000000018,not_recalibrated_full_population_unavailable
FB,obv_pass_90,min_max,-0.2396672342697106,0.1998243317523043,0.0,0.3395794001458628,not_recalibrated_full_population_unavailable
FB,obv_pass_90,log_transform,-0.3868297685237551,0.4535340650564863,0.0,0.6135968010519983,not_recalibrated_full_population_unavailable
FB,obv_pass_90,quantile_transform,6.165694601656505e-11,5.3134215468059,8.695652173913043,3.0914933821602597,not_recalibrated_full_population_unavailable
FB,obv_pass_90,winsorized_z_score,0.2935951086199486,-1.0718806305021702,0.0,0.8295354238710337,not_recalibrated_full_population_unavailable
FB,op_f3_passes_90,z_score,0.2360152382763444,-0.9570046631327068,0.0,0.7145175698426979,not_recalibrated_full_population_unavailable
FB,op_f3_passes_90,robust_z_score,0.2360152382763447,-0.957004663132706,0.0,0.7145175698426978,not_recalibrated_full_population_unavailable
FB,op_f3_passes_90,percentile_rank,-1.0642654398635222e-15,-1.1999999999999993,0.0,0.6000000000000008,not_recalibrated_full_population_unavailable
FB,op_f3_passes_90,min_max,0.2360152382763445,-0.9570046631327064,0.0,0.7145175698426978,not_recalibrated_full_population_unavailable
FB,op_f3_passes_90,log_transform,-0.8210520236956209,0.4368702876188775,4.3478260869565215,1.2568784718528858,not_recalibrated_full_population_unavailable
FB,op_f3_passes_90,quantile_transform,6.165690433178127e-11,5.313421546805898,8.695652173913043,3.0914933821602584,not_recalibrated_full_population_unavailable
FB,op_f3_passes_90,winsorized_z_score,0.1999868071466501,-1.2360450144495947,0.0,0.8180093143714475,not_recalibrated_full_population_unavailable
MID,ball_recoveries_90,z_score,0.3501464094792641,0.3704063512319417,0.0,0.535349585095235,not_recalibrated_full_population_unavailable
