score_a,score_b,pearson,spearman,distance_correlation
CB_CB_D8,WINGER_WINGER_D4,,,
CB_CB_D8,WINGER_WINGER_D5,,,
CB_CB_D8,WINGER_WINGER_D6,,,
CB_CB_D9,CF_CF_D1,,,
CB_CB_D9,CF_CF_D2,,,
CB_CB_D9,CF_CF_D3,,,
CB_CB_D9,CF_CF_D4,,,
CB_CB_D9,FB_FB_D1,,,
CB_CB_D9,FB_FB_D2,,,
CB_CB_D9,FB_FB_D3,,,
CB_CB_D9,FB_FB_D4,,,
CB_CB_D9,FB_FB_D5,,,
CB_CB_D9,FB_FB_D6,,,
CB_CB_D9,FB_FB_D7,,,
CB_CB_D9,GK_GK_D1,,,
CB_CB_D9,GK_GK_D2,,,
CB_CB_D9,GK_GK_D3,,,
CB_CB_D9,MID_MID_D1,,,
CB_CB_D9,MID_MID_D2,,,
CB_CB_D9,MID_MID_D4,,,
CB_CB_D9,MID_MID_D5,,,
CB_CB_D9,MID_MID_D6,,,
CB_CB_D9,MID_MID_D7,,,
CB_CB_D9,WINGER_WINGER_D1,,,
CB_CB_D9,WINGER_WINGER_D2,,,
CB_CB_D9,WINGER_WINGER_D3,,,
CB_CB_D9,WINGER_WINGER_D4,,,
CB_CB_D9,WINGER_WINGER_D5,,,
CB_CB_D9,WINGER_WINGER_D6,,,
CF_CF_D1,CF_CF_D2,0.8021763973376623,0.7288136756381841,0.776475034047483
CF_CF_D1,CF_CF_D3,-0.3263089377826484,-0.22416713721061546,0.3415104182947208
CF_CF_D1,CF_CF_D4,-0.20769849366917642,-0.10333145115753811,0.35839881358264786
CF_CF_D1,FB_FB_D1,,,
CF_CF_D1,FB_FB_D2,,,
CF_CF_D1,FB_FB_D3,,,
CF_CF_D1,FB_FB_D4,,,
CF_CF_D1,FB_FB_D5,,,
CF_CF_D1,FB_FB_D6,,,
CF_CF_D1,FB_FB_D7,,,
CF_CF_D1,GK_GK_D1,,,
CF_CF_D1,GK_GK_D2,,,
CF_CF_D1,GK_GK_D3,,,
CF_CF_D1,MID_MID_D1,,,
CF_CF_D1,MID_MID_D2,,,
CF_CF_D1,MID_MID_D4,,,
CF_CF_D1,MID_MID_D5,,,
CF_CF_D1,MID_MID_D6,,,
CF_CF_D1,MID_MID_D7,,,
CF_CF_D1,WINGER_WINGER_D1,,,
CF_CF_D1,WINGER_WINGER_D2,,,
CF_CF_D1,WINGER_WINGER_D3,,,
CF_CF_D1,WINGER_WINGER_D4,,,
CF_CF_D1,WINGER_WINGER_D5,,,
CF_CF_D1,WINGER_WINGER_D6,,,
CF_CF_D2,CF_CF_D3,-0.40898397892699534,-0.40056503568021123,0.40190411850737856
CF_CF_D2,CF_CF_D4,-0.21402246409900974,-0.06101695889063866,0.36298177179551583
CF_CF_D2,FB_FB_D1,,,
CF_CF_D2,FB_FB_D2,,,
CF_CF_D2,FB_FB_D3,,,
CF_CF_D2,FB_FB_D4,,,
CF_CF_D2,FB_FB_D5,,,
CF_CF_D2,FB_FB_D6,,,
CF_CF_D2,FB_FB_D7,,,
CF_CF_D2,GK_GK_D1,,,
CF_CF_D2,GK_GK_D2,,,
CF_CF_D2,GK_GK_D3,,,
CF_CF_D2,MID_MID_D1,,,
CF_CF_D2,MID_MID_D2,,,
CF_CF_D2,MID_MID_D4,,,
CF_CF_D2,MID_MID_D5,,,
CF_CF_D2,MID_MID_D6,,,
CF_CF_D2,MID_MID_D7,,,
CF_CF_D2,WINGER_WINGER_D1,,,
CF_CF_D2,WINGER_WINGER_D2,,,
CF_CF_D2,WINGER_WINGER_D3,,,
CF_CF_D2,WINGER_WINGER_D4,,,
CF_CF_D2,WINGER_WINGER_D5,,,
CF_CF_D2,WINGER_WINGER_D6,,,
CF_CF_D3,CF_CF_D4,0.6142911302621598,0.5403726708074534,0.6691501145117102
CF_CF_D3,FB_FB_D1,,,
CF_CF_D3,FB_FB_D2,,,
CF_CF_D3,FB_FB_D3,,,
CF_CF_D3,FB_FB_D4,,,
CF_CF_D3,FB_FB_D5,,,
CF_CF_D3,FB_FB_D6,,,
CF_CF_D3,FB_FB_D7,,,
CF_CF_D3,GK_GK_D1,,,
CF_CF_D3,GK_GK_D2,,,
CF_CF_D3,GK_GK_D3,,,
CF_CF_D3,MID_MID_D1,,,
CF_CF_D3,MID_MID_D2,,,
CF_CF_D3,MID_MID_D4,,,
CF_CF_D3,MID_MID_D5,,,
CF_CF_D3,MID_MID_D6,,,
CF_CF_D3,MID_MID_D7,,,
CF_CF_D3,WINGER_WINGER_D1,,,
CF_CF_D3,WINGER_WINGER_D2,,,
CF_CF_D3,WINGER_WINGER_D3,,,
CF_CF_D3,WINGER_WINGER_D4,,,
CF_CF_D3,WINGER_WINGER_D5,,,
CF_CF_D3,WINGER_WINGER_D6,,,
CF_CF_D4,FB_FB_D1,,,
CF_CF_D4,FB_FB_D2,,,
CF_CF_D4,FB_FB_D3,,,
CF_CF_D4,FB_FB_D4,,,
CF_CF_D4,FB_FB_D5,,,
CF_CF_D4,FB_FB_D6,,,
CF_CF_D4,FB_FB_D7,,,
CF_CF_D4,GK_GK_D1,,,
CF_CF_D4,GK_GK_D2,,,
CF_CF_D4,GK_GK_D3,,,
CF_CF_D4,MID_MID_D1,,,
CF_CF_D4,MID_MID_D2,,,
CF_CF_D4,MID_MID_D4,,,
CF_CF_D4,MID_MID_D5,,,
CF_CF_D4,MID_MID_D6,,,
CF_CF_D4,MID_MID_D7,,,
CF_CF_D4,WINGER_WINGER_D1,,,
CF_CF_D4,WINGER_WINGER_D2,,,
CF_CF_D4,WINGER_WINGER_D3,,,
CF_CF_D4,WINGER_WINGER_D4,,,
CF_CF_D4,WINGER_WINGER_D5,,,
CF_CF_D4,WINGER_WINGER_D6,,,
FB_FB_D1,FB_FB_D2,0.254542067956219,0.23122529644268774,0.3690414434182317
FB_FB_D1,FB_FB_D3,0.2427323957576259,0.2875494071146245,0.287407218859477
FB_FB_D1,FB_FB_D4,-0.3812493352239692,-0.37648221343873517,0.4603074800454297
FB_FB_D1,FB_FB_D5,-0.19137132510182028,-0.17588932806324112,0.3702115838000607
FB_FB_D1,FB_FB_D6,0.013586549756633585,0.06475532180166907,0.34085282514067616
FB_FB_D1,FB_FB_D7,-0.08644667461417362,0.0029644268774703555,0.3077965775664069
FB_FB_D1,GK_GK_D1,,,
FB_FB_D1,GK_GK_D2,,,
FB_FB_D1,GK_GK_D3,,,
FB_FB_D1,MID_MID_D1,,,
FB_FB_D1,MID_MID_D2,,,
FB_FB_D1,MID_MID_D4,,,
FB_FB_D1,MID_MID_D5,,,
FB_FB_D1,MID_MID_D6,,,
FB_FB_D1,MID_MID_D7,,,
FB_FB_D1,WINGER_WINGER_D1,,,
FB_FB_D1,WINGER_WINGER_D2,,,
FB_FB_D1,WINGER_WINGER_D3,,,
FB_FB_D1,WINGER_WINGER_D4,,,
FB_FB_D1,WINGER_WINGER_D5,,,
FB_FB_D1,WINGER_WINGER_D6,,,
FB_FB_D2,FB_FB_D3,0.01568634629571326,-0.019762845849802372,0.20773861626630294
FB_FB_D2,FB_FB_D4,0.008124223776354661,0.012845849802371542,0.2900423729705707
FB_FB_D2,FB_FB_D5,0.15132626965574725,0.1907114624505929,0.37040251375181016
FB_FB_D2,FB_FB_D6,-0.37834419558878507,-0.3455264880867685,0.4102883129909679
FB_FB_D2,FB_FB_D7,0.007687766311799391,0.039525691699604744,0.22760790622962002
FB_FB_D2,GK_GK_D1,,,
FB_FB_D2,GK_GK_D2,,,
FB_FB_D2,GK_GK_D3,,,
FB_FB_D2,MID_MID_D1,,,
FB_FB_D2,MID_MID_D2,,,
FB_FB_D2,MID_MID_D4,,,
FB_FB_D2,MID_MID_D5,,,
FB_FB_D2,MID_MID_D6,,,
FB_FB_D2,MID_MID_D7,,,
FB_FB_D2,WINGER_WINGER_D1,,,
FB_FB_D2,WINGER_WINGER_D2,,,
FB_FB_D2,WINGER_WINGER_D3,,,
FB_FB_D2,WINGER_WINGER_D4,,,
FB_FB_D2,WINGER_WINGER_D5,,,
FB_FB_D2,WINGER_WINGER_D6,,,
FB_FB_D3,FB_FB_D4,-0.07168596625012205,0.0029644268774703555,0.2599204652518821
FB_FB_D3,FB_FB_D5,0.3871648318486815,0.29150197628458496,0.4028213650973223
FB_FB_D3,FB_FB_D6,-0.2144933889162355,-0.08601088544649173,0.3344834798563441
FB_FB_D3,FB_FB_D7,0.1012582928018616,0.18873517786561264,0.3281652614800288
FB_FB_D3,GK_GK_D1,,,
FB_FB_D3,GK_GK_D2,,,
FB_FB_D3,GK_GK_D3,,,
FB_FB_D3,MID_MID_D1,,,
FB_FB_D3,MID_MID_D2,,,
FB_FB_D3,MID_MID_D4,,,
FB_FB_D3,MID_MID_D5,,,
FB_FB_D3,MID_MID_D6,,,
FB_FB_D3,MID_MID_D7,,,
FB_FB_D3,WINGER_WINGER_D1,,,
FB_FB_D3,WINGER_WINGER_D2,,,
FB_FB_D3,WINGER_WINGER_D3,,,
FB_FB_D3,WINGER_WINGER_D4,,,
FB_FB_D3,WINGER_WINGER_D5,,,
FB_FB_D3,WINGER_WINGER_D6,,,
FB_FB_D4,FB_FB_D5,0.4982529300887359,0.5385375494071146,0.5964115247339231
FB_FB_D4,FB_FB_D6,-0.34392474255070504,-0.3321799713795543,0.4650045693731751
FB_FB_D4,FB_FB_D7,0.33824988878610684,0.29347826086956524,0.37717934792682545
FB_FB_D4,GK_GK_D1,,,
FB_FB_D4,GK_GK_D2,,,
FB_FB_D4,GK_GK_D3,,,
FB_FB_D4,MID_MID_D1,,,
FB_FB_D4,MID_MID_D2,,,
FB_FB_D4,MID_MID_D4,,,
FB_FB_D4,MID_MID_D5,,,
FB_FB_D4,MID_MID_D6,,,
FB_FB_D4,MID_MID_D7,,,
FB_FB_D4,WINGER_WINGER_D1,,,
