role,player_id,player_name,score,bootstrap_mean,bootstrap_std,bootstrap_ci_low,bootstrap_ci_high,score_variance,bootstrap_samples,experiment_008_status
MID,407506,Oussama Nourdine,41.5938428712737,41.32800923044376,9.105883459085153,26.309394016829923,60.89192541980791,82.91711357044059,300,not_recomputed_full_population_unavailable
MID,407852,Abdessamad Mahir,56.51922302948898,56.748682180331016,9.44487855965297,36.26598155358286,74.13777823931373,89.20573100659236,300,not_recomputed_full_population_unavailable
MID,415853,Claude Gnolou,49.90472207685403,49.91629416970543,7.84634436527269,35.44841323507278,64.98721176055221,61.56511989844648,300,not_recomputed_full_population_unavailable
MID,416303,El Mahdi Akoumi,49.95768694251736,49.13460180974254,10.492166379501016,29.22006664806784,71.759107300475,110.08555533513145,300,not_recomputed_full_population_unavailable
MID,424979,Soufiane Tazi,65.46751020408719,65.29267300563272,7.535659643577802,49.15605805053602,78.19712341944644,56.78616626384712,300,not_recomputed_full_population_unavailable
MID,442288,Adnane Berdad,38.43627104981434,38.35221369221763,3.568428446906021,31.639348529312333,45.07272394895064,12.733681580688112,300,not_recomputed_full_population_unavailable
MID,442292,Abdellatif El Bajjani,48.06076468322821,48.05315543482205,4.668081917662811,39.01845524759353,55.93719104585573,21.79098879001051,300,not_recomputed_full_population_unavailable
MID,443951,Youness Akharraz,31.30495709922064,31.597174697930363,10.738700415871543,15.535288118690447,56.3368080520871,115.31968662183972,300,not_recomputed_full_population_unavailable
MID,446355,Ishak Zidani,42.62096121851965,42.23621371444564,7.786706999206768,28.26848240262491,58.41336486711726,60.632805891495664,300,not_recomputed_full_population_unavailable
MID,450709,Joseph Bakasu       ,35.48664701456672,34.94577006671951,7.183995652846494,22.300843206898456,50.27492906975715,51.60979354011732,300,not_recomputed_full_population_unavailable
MID,477679,Redouane Oubidar,36.14323527587034,35.92413459198598,6.464143473275852,25.065725855003965,48.73791185138778,41.7851508430948,300,not_recomputed_full_population_unavailable
MID,477680,Hamza Saoud,59.36384627009205,60.12592524961275,11.04846497973547,38.61150385726277,80.3721748040137,122.0685784084411,300,not_recomputed_full_population_unavailable
MID,477682,Ayoub Benaadi,72.75466777426385,72.69158989456024,11.568566868203616,50.83218511364256,92.559006661759,133.83173938409843,300,not_recomputed_full_population_unavailable
MID,523308,Adil Khalloufi,74.86883938929184,75.09795780176144,4.142431267047665,67.20781141946823,82.86967247955504,17.159736802214127,300,not_recomputed_full_population_unavailable
MID,523973,Hamza Rafa,30.204742806725,30.018085502479163,7.114955196080431,17.937262217874764,43.416236878737614,50.62258744223193,300,not_recomputed_full_population_unavailable
