role_family,metric,normalization_method,normalized_skewness,normalized_kurtosis,normalized_outlier_pct,normalization_quality_score
FB,counterpressures_90,z_score,-0.027683182730849337,-1.4471353062868668,0.0,0.7512508358742828
FB,counterpressures_90,robust_z_score,-0.027683182730849056,-1.4471353062868677,0.0,0.7512508358742829
FB,counterpressures_90,percentile_rank,-1.1316240120067832e-15,-1.2000000000000002,0.0,0.6000000000000012
FB,counterpressures_90,min_max,-0.027683182730849968,-1.4471353062868673,0.0,0.7512508358742837
FB,counterpressures_90,log_transform,-0.34710811923741836,-1.4178999749977663,0.0,1.0560581067363015
FB,counterpressures_90,quantile_transform,6.165704190372073e-11,5.313421546805902,8.695652173913043,3.09149338216026
FB,counterpressures_90,winsorized_z_score,-0.11099371178732828,-1.6300929574916982,0.0,0.9260401905331774
FB,dribble_ratio,z_score,0.29426717829087556,-0.44047919224820076,0.0,0.5145067744149759
FB,dribble_ratio,robust_z_score,0.29426717829087556,-0.44047919224820076,0.0,0.5145067744149759
FB,dribble_ratio,percentile_rank,-0.0014382542225805236,-1.1974491697726037,0.0,0.6001628391088824
FB,dribble_ratio,min_max,0.2942671782908759,-0.4404791922482012,0.0,0.5145067744149765
FB,dribble_ratio,log_transform,0.02988864359484369,-0.5873876974175936,0.0,0.32358249230364045
FB,dribble_ratio,quantile_transform,6.162882924359976e-05,5.31784655224083,8.695652173913043,3.093767513645311
FB,dribble_ratio,winsorized_z_score,0.0816890788223136,-0.9524651703853801,0.0,0.5579216640150036
FB,key_passes_90,z_score,0.3823047179076457,-0.14959418360755095,0.0,0.45710180971142117
FB,key_passes_90,robust_z_score,0.38230471790764525,-0.14959418360755228,0.0,0.4571018097114214
FB,key_passes_90,percentile_rank,-1.1737231195963212e-15,-1.1999999999999997,0.0,0.6000000000000011
FB,key_passes_90,min_max,0.3823047179076448,-0.14959418360755228,0.0,0.45710180971142095
FB,key_passes_90,log_transform,-0.04672177763330378,-0.1093666201196477,0.0,0.10140508769312763
FB,key_passes_90,quantile_transform,6.165704895245971e-11,5.313421546805902,8.695652173913043,3.09149338216026
FB,key_passes_90,winsorized_z_score,0.6220133282357715,-0.37979994270751005,0.0,0.8119132995895265
FB,obv_dribble_carry_90,z_score,1.2709421364365832,1.5128473915126612,8.695652173913043,2.462148440888566
FB,obv_dribble_carry_90,robust_z_score,1.2709421364365827,1.5128473915126595,8.695652173913043,2.4621484408885648
FB,obv_dribble_carry_90,percentile_rank,4.7072064673552235e-17,-1.200000000000001,0.0,0.6000000000000005
FB,obv_dribble_carry_90,min_max,1.2709421364365834,1.5128473915126603,8.695652173913043,2.4621484408885657
FB,obv_dribble_carry_90,log_transform,1.2216760046125315,1.3804483099574671,8.695652173913043,2.346682768286917
FB,obv_dribble_carry_90,quantile_transform,6.165686006828318e-11,5.313421546805902,8.695652173913043,3.09149338216026
FB,obv_dribble_carry_90,winsorized_z_score,1.034048489652417,0.5720750541979278,8.695652173913043,1.754868625447033
FB,obv_pass_90,z_score,-0.23966723426970934,0.19982433175230163,0.0,0.3395794001458602
FB,obv_pass_90,robust_z_score,-0.23966723426970948,0.1998243317523012,0.0,0.3395794001458601
FB,obv_pass_90,percentile_rank,-1.1888787983285545e-15,-1.200000000000001,0.0,0.6000000000000018
FB,obv_pass_90,min_max,-0.23966723426971065,0.1998243317523043,0.0,0.3395794001458628
FB,obv_pass_90,log_transform,-0.38682976852375517,0.4535340650564863,0.0,0.6135968010519983
FB,obv_pass_90,quantile_transform,6.165694601656505e-11,5.3134215468059,8.695652173913043,3.0914933821602593
FB,obv_pass_90,winsorized_z_score,0.29359510861994864,-1.0718806305021702,0.0,0.8295354238710337
FB,op_f3_passes_90,z_score,0.23601523827634444,-0.9570046631327069,0.0,0.7145175698426979
FB,op_f3_passes_90,robust_z_score,0.2360152382763447,-0.957004663132706,0.0,0.7145175698426978
FB,op_f3_passes_90,percentile_rank,-1.0642654398635222e-15,-1.1999999999999993,0.0,0.6000000000000008
FB,op_f3_passes_90,min_max,0.23601523827634452,-0.9570046631327065,0.0,0.7145175698426978
FB,op_f3_passes_90,log_transform,-0.8210520236956209,0.4368702876188775,4.3478260869565215,1.2568784718528858
FB,op_f3_passes_90,quantile_transform,6.165690433178127e-11,5.313421546805898,8.695652173913043,3.0914933821602584
FB,op_f3_passes_90,winsorized_z_score,0.19998680714665013,-1.2360450144495947,0.0,0.8180093143714475
MID,ball_recoveries_90,z_score,0.3501464094792641,0.37040635123194177,0.0,0.535349585095235
MID,ball_recoveries_90,robust_z_score,0.35014640947926384,0.3704063512319409,0.0,0.5353495850952343
MID,ball_recoveries_90,percentile_rank,5.246207159035008e-16,-1.200000000000001,0.0,0.6000000000000011
MID,ball_recoveries_90,min_max,0.35014640947926395,0.3704063512319409,0.0,0.5353495850952343
MID,ball_recoveries_90,log_transform,-1.2882341388048273,2.634517834314242,5.88235294117647,2.8996107030207714
MID,ball_recoveries_90,quantile_transform,6.135557641679744e-11,5.98449939897896,5.88235294117647,3.2863673466096586
MID,ball_recoveries_90,winsorized_z_score,0.24688304032894434,-0.8286991360406959,0.0,0.6612326083492923
MID,counterpressures_90,z_score,0.08906674931881736,0.04738203176628586,0.0,0.11275776520196029
MID,counterpressures_90,robust_z_score,0.08906674931881739,0.0473820317662863,0.0,0.11275776520196054
MID,counterpressures_90,percentile_rank,5.512963455257128e-16,-1.1999999999999997,0.0,0.6000000000000004
MID,counterpressures_90,min_max,0.08906674931881761,0.047382031766285415,0.0,0.11275776520196032
MID,counterpressures_90,log_transform,-1.0887785332046767,2.2393203860424244,2.941176470588235,2.3554975497553006
MID,counterpressures_90,quantile_transform,6.135647948646097e-11,5.98449939897897,5.88235294117647,3.2863673466096652
MID,counterpressures_90,winsorized_z_score,0.1821653854641864,-0.6567489362479231,0.0,0.5105398535881479
MID,key_passes_90,z_score,1.5618808609612813,2.7409359937318363,5.88235294117647,3.226466504886023
MID,key_passes_90,robust_z_score,1.5618808609612802,2.7409359937318336,5.88235294117647,3.2264665048860204
MID,key_passes_90,percentile_rank,5.757490060127403e-16,-1.2000000000000006,0.0,0.6000000000000009
MID,key_passes_90,min_max,1.56188086096128,2.7409359937318336,5.88235294117647,3.2264665048860204
MID,key_passes_90,log_transform,0.8749412865797025,0.35909535958777816,0.0,1.0544889663735915
MID,key_passes_90,quantile_transform,6.135637900820221e-11,5.984499398978974,5.88235294117647,3.2863673466096666
