role,player_id,base_rank,mean_bootstrap_rank,average_rank_variation,worst_case_rank_variation,rank_std,experiment_008_status
WINGER,34952,11.0,10.776666666666667,2.303333333333333,7.0,2.8177867133791152,not_recomputed_full_population_unavailable
WINGER,358748,23.0,21.876666666666665,2.13,11.0,2.6917666282248494,not_recomputed_full_population_unavailable
WINGER,381935,12.0,10.273333333333332,4.773333333333333,11.0,5.439723417455794,not_recomputed_full_population_unavailable
WINGER,409131,20.0,20.906666666666663,2.5,11.0,3.0772586216149,not_recomputed_full_population_unavailable
WINGER,435547,19.0,15.933333333333334,4.633333333333334,17.0,5.767127078365415,not_recomputed_full_population_unavailable
WINGER,449373,16.0,14.736666666666666,2.99,10.0,3.514040955225988,not_recomputed_full_population_unavailable
WINGER,460266,9.0,8.576666666666666,3.523333333333333,10.0,4.204328342505399,not_recomputed_full_population_unavailable
WINGER,477555,18.0,16.183333333333334,2.57,8.0,2.7522667256862943,not_recomputed_full_population_unavailable
WINGER,523312,13.0,13.393333333333333,4.206666666666667,12.0,5.1666497644201534,not_recomputed_full_population_unavailable
WINGER,7550,3.0,5.64,3.0733333333333333,12.0,2.8561498513285586,not_recomputed_full_population_unavailable
CF,138876,3.0,4.233333333333333,1.48,8.0,1.7365504832353629,not_recomputed_full_population_unavailable
CF,139566,13.0,11.756666666666666,3.39,12.0,4.231288404346611,not_recomputed_full_population_unavailable
CF,140867,11.0,10.59,1.9366666666666668,5.0,2.3107788722972864,not_recomputed_full_population_unavailable
CF,140886,1.0,2.3,1.3,12.0,2.403314322439217,not_recomputed_full_population_unavailable
CF,140887,18.0,16.30666666666667,2.1133333333333333,6.0,2.1009526957203017,not_recomputed_full_population_unavailable
CF,143504,12.0,11.006666666666666,6.306666666666667,11.0,6.986845419688175,not_recomputed_full_population_unavailable
CF,155347,10.0,9.826666666666666,2.286666666666666,6.0,2.8219082389852908,not_recomputed_full_population_unavailable
CF,155705,8.0,9.923333333333334,5.576666666666667,12.0,6.158235822895239,not_recomputed_full_population_unavailable
CF,312936,5.0,6.6866666666666665,2.1,10.0,2.415492545288304,not_recomputed_full_population_unavailable
CF,3319,4.0,6.033333333333333,3.486666666666667,15.0,4.417079448959114,not_recomputed_full_population_unavailable
CF,335508,6.0,7.383333333333334,2.643333333333333,8.0,3.0265915499545706,not_recomputed_full_population_unavailable
CF,360406,22.0,20.793333333333333,1.2066666666666668,5.0,1.4037535285030769,not_recomputed_full_population_unavailable
CF,38423,17.0,14.826666666666666,5.3533333333333335,16.0,6.673209721128415,not_recomputed_full_population_unavailable
CF,406860,16.0,15.003333333333334,3.3366666666666664,11.0,4.180299659078024,not_recomputed_full_population_unavailable
CF,409301,14.0,12.636666666666668,1.47,5.0,1.340639126105046,not_recomputed_full_population_unavailable
CF,442295,9.0,9.313333333333333,2.44,7.0,3.0330105063000765,not_recomputed_full_population_unavailable
CF,453613,2.0,4.29,2.3366666666666664,12.0,2.347538381975788,not_recomputed_full_population_unavailable
CF,477684,19.0,16.97,2.803333333333333,11.0,3.289148063447068,not_recomputed_full_population_unavailable
CF,503286,20.0,18.44333333333333,2.3633333333333333,10.0,3.1400086629764967,not_recomputed_full_population_unavailable
CF,522342,15.0,14.9,2.52,7.0,3.106256498011413,not_recomputed_full_population_unavailable
CF,524001,7.0,9.523333333333332,5.243333333333333,11.0,5.704201545626931,not_recomputed_full_population_unavailable
CF,524392,21.0,20.25333333333333,1.14,8.0,1.6055366856762872,not_recomputed_full_population_unavailable
