role,player_id,season_id,split_name,matches,minutes,split_score,split_score_std,date_method
MID,407506,318,second_half,0,0.0,,,match_date
MID,407852,318,full_season,1,102.96667,35.65836624888512,,match_date
MID,407852,318,first_half,1,102.96667,35.65836624888512,,match_date
MID,407852,318,second_half,0,0.0,,,match_date
MID,415853,318,full_season,2,173.61666,53.87993503101275,3.095914691809715,match_date
MID,415853,318,first_half,1,70.73333,51.69079275845904,,match_date
MID,415853,318,second_half,1,102.88333,56.06907730356646,,match_date
MID,416303,318,full_season,1,104.95,40.84210652204243,,match_date
MID,416303,318,first_half,1,104.95,40.84210652204243,,match_date
MID,416303,318,second_half,0,0.0,,,match_date
MID,424979,318,full_season,1,78.51667,47.315334279618725,,match_date
MID,424979,318,first_half,1,78.51667,47.315334279618725,,match_date
MID,424979,318,second_half,0,0.0,,,match_date
MID,442288,318,full_season,1,96.1,52.571054832570155,,match_date
MID,442288,318,first_half,1,96.1,52.571054832570155,,match_date
MID,442288,318,second_half,0,0.0,,,match_date
MID,442292,318,full_season,1,112.46667,47.756375391349515,,match_date
MID,442292,318,first_half,1,112.46667,47.756375391349515,,match_date
MID,442292,318,second_half,0,0.0,,,match_date
MID,443951,318,full_season,1,88.7,32.68520490139892,,match_date
MID,443951,318,first_half,1,88.7,32.68520490139892,,match_date
MID,443951,318,second_half,0,0.0,,,match_date
MID,446355,318,full_season,1,112.46667,45.84278804297592,,match_date
MID,446355,318,first_half,1,112.46667,45.84278804297592,,match_date
MID,446355,318,second_half,0,0.0,,,match_date
MID,450709,318,full_season,1,22.916666,47.43002637556043,,match_date
MID,450709,318,first_half,1,22.916666,47.43002637556043,,match_date
MID,450709,318,second_half,0,0.0,,,match_date
MID,477679,318,full_season,1,96.683334,58.12264257098215,,match_date
MID,477679,318,first_half,1,96.683334,58.12264257098215,,match_date
MID,477679,318,second_half,0,0.0,,,match_date
MID,477680,318,full_season,1,37.983334,58.286855238057576,,match_date
MID,477680,318,first_half,1,37.983334,58.286855238057576,,match_date
MID,477680,318,second_half,0,0.0,,,match_date
MID,477682,318,full_season,1,96.683334,48.05686982382984,,match_date
MID,477682,318,first_half,1,96.683334,48.05686982382984,,match_date
MID,477682,318,second_half,0,0.0,,,match_date
MID,523308,318,full_season,1,98.11667,60.9654901595928,,match_date
MID,523308,318,first_half,1,98.11667,60.9654901595928,,match_date
MID,523308,318,second_half,0,0.0,,,match_date
MID,523973,318,full_season,1,33.2,26.687362053560957,,match_date
MID,523973,318,first_half,1,33.2,26.687362053560957,,match_date
MID,523973,318,second_half,0,0.0,,,match_date
MID,523996,318,full_season,2,175.64999999999998,36.67060934574042,3.4476680523919074,match_date
MID,523996,318,first_half,1,109.3,39.10847880486695,,match_date
MID,523996,318,second_half,1,66.35,34.23273988661388,,match_date
MID,7183,318,full_season,1,96.1,66.35163194233907,,match_date
MID,7183,318,first_half,1,96.1,66.35163194233907,,match_date
MID,7183,318,second_half,0,0.0,,,match_date
MID,7717,318,full_season,2,164.900004,49.8181983842553,22.604879158571375,match_date
MID,7717,318,first_half,1,96.683334,65.80226172518357,,match_date
MID,7717,318,second_half,1,68.21667,33.83413504332702,,match_date
WINGER,132614,318,full_season,1,22.9,,,match_date
WINGER,132614,318,first_half,1,22.9,,,match_date
WINGER,132614,318,second_half,0,0.0,,,match_date
WINGER,134249,318,full_season,1,102.96667,52.899252905000004,,match_date
