role,player_id,player_name,review_category,score,percentile,reason
MID,523996,Fred Duval Ngoma,top20,49.40951592103031,44.11764705882353,football_expert_review_required_not_quality_judgement
MID,138860,Youssef Michte,bottom20,25.510345012083786,2.941176470588235,football_expert_review_required_not_quality_judgement
MID,523973,Hamza Rafa,bottom20,30.204742806724997,5.88235294117647,football_expert_review_required_not_quality_judgement
MID,443951,Youness Akharraz,bottom20,31.30495709922064,8.823529411764707,football_expert_review_required_not_quality_judgement
MID,407207,Ennaama El Bellali,bottom20,33.55607567203257,11.76470588235294,football_expert_review_required_not_quality_judgement
MID,194912,Faouzi Abd El Mouttalib,bottom20,34.29059098956171,14.705882352941178,football_expert_review_required_not_quality_judgement
MID,450709,Joseph Bakasu       ,bottom20,35.48664701456672,17.647058823529413,football_expert_review_required_not_quality_judgement
MID,477679,Redouane Oubidar,bottom20,36.14323527587034,20.588235294117645,football_expert_review_required_not_quality_judgement
MID,442288,Adnane Berdad,bottom20,38.43627104981434,23.52941176470588,football_expert_review_required_not_quality_judgement
MID,7183,Moctar Sidi El Hacen El Ide,bottom20,38.71298410052831,26.47058823529412,football_expert_review_required_not_quality_judgement
MID,21648,Anas Tahiri,bottom20,39.827181430371205,29.411764705882355,football_expert_review_required_not_quality_judgement
MID,407506,Oussama Nourdine,bottom20,41.5938428712737,32.35294117647059,football_expert_review_required_not_quality_judgement
MID,446355,Ishak Zidani,bottom20,42.62096121851965,35.294117647058826,football_expert_review_required_not_quality_judgement
MID,442292,Abdellatif El Bajjani,bottom20,48.06076468322821,38.23529411764706,football_expert_review_required_not_quality_judgement
MID,139565,Larbi Naji,bottom20,49.30304599865113,41.17647058823529,football_expert_review_required_not_quality_judgement
MID,523996,Fred Duval Ngoma,bottom20,49.40951592103031,44.11764705882353,football_expert_review_required_not_quality_judgement
MID,415853,Claude Gnolou,bottom20,49.90472207685403,47.05882352941176,football_expert_review_required_not_quality_judgement
MID,416303,El Mahdi Akoumi,bottom20,49.95768694251736,50.0,football_expert_review_required_not_quality_judgement
MID,312413,Soulaimane El Bouchqali,bottom20,51.50337297702328,52.94117647058824,football_expert_review_required_not_quality_judgement
MID,143166,Zakaria Fati,bottom20,51.94810965543293,55.88235294117647,football_expert_review_required_not_quality_judgement
MID,138872,Oussama Mahrous,bottom20,52.04003920007446,58.82352941176471,football_expert_review_required_not_quality_judgement
MID,523308,Adil Khalloufi,highest_percentile,74.86883938929184,100.0,football_expert_review_required_not_quality_judgement
MID,477682,Ayoub Benaadi,highest_percentile,72.75466777426385,97.05882352941175,football_expert_review_required_not_quality_judgement
MID,144436,Anas Serrhat,highest_percentile,71.66171404515838,94.11764705882352,football_expert_review_required_not_quality_judgement
MID,7717,Rayane Aabid,highest_percentile,68.94794077723483,91.17647058823528,football_expert_review_required_not_quality_judgement
MID,424979,Soufiane Tazi,highest_percentile,65.46751020408719,88.23529411764706,football_expert_review_required_not_quality_judgement
MID,138860,Youssef Michte,lowest_percentile,25.510345012083786,2.941176470588235,football_expert_review_required_not_quality_judgement
