role,player_id,instability_driver,max_abs_variation
MID,7717,bootstrap_rank_variation_gt_5,15.0
WINGER,132614,bootstrap_rank_variation_gt_5,14.0
WINGER,134249,bootstrap_rank_variation_gt_5,13.0
WINGER,138895,bootstrap_rank_variation_gt_5,17.0
WINGER,139001,bootstrap_rank_variation_gt_5,16.0
WINGER,139008,bootstrap_rank_variation_gt_5,16.0
WINGER,139017,bootstrap_rank_variation_gt_5,14.0
WINGER,139568,bootstrap_rank_variation_gt_5,14.0
WINGER,140874,bootstrap_rank_variation_gt_5,15.0
WINGER,143490,bootstrap_rank_variation_gt_5,10.0
WINGER,16208,bootstrap_rank_variation_gt_5,21.0
WINGER,179311,bootstrap_rank_variation_gt_5,14.0
WINGER,199611,bootstrap_rank_variation_gt_5,16.0
WINGER,275341,bootstrap_rank_variation_gt_5,18.0
WINGER,312935,bootstrap_rank_variation_gt_5,13.0
WINGER,3302,bootstrap_rank_variation_gt_5,19.0
WINGER,34952,bootstrap_rank_variation_gt_5,7.0
WINGER,358748,bootstrap_rank_variation_gt_5,11.0
WINGER,381935,bootstrap_rank_variation_gt_5,11.0
WINGER,409131,bootstrap_rank_variation_gt_5,11.0
WINGER,435547,bootstrap_rank_variation_gt_5,17.0
WINGER,449373,bootstrap_rank_variation_gt_5,10.0
WINGER,460266,bootstrap_rank_variation_gt_5,10.0
WINGER,477555,bootstrap_rank_variation_gt_5,8.0
WINGER,523312,bootstrap_rank_variation_gt_5,12.0
WINGER,7550,bootstrap_rank_variation_gt_5,12.0
CF,138876,bootstrap_rank_variation_gt_5,8.0
CF,139566,bootstrap_rank_variation_gt_5,12.0
CF,140886,bootstrap_rank_variation_gt_5,12.0
CF,140887,bootstrap_rank_variation_gt_5,6.0
CF,143504,bootstrap_rank_variation_gt_5,11.0
CF,155347,bootstrap_rank_variation_gt_5,6.0
CF,155705,bootstrap_rank_variation_gt_5,12.0
CF,312936,bootstrap_rank_variation_gt_5,10.0
CF,3319,bootstrap_rank_variation_gt_5,15.0
CF,335508,bootstrap_rank_variation_gt_5,8.0
CF,38423,bootstrap_rank_variation_gt_5,16.0
CF,406860,bootstrap_rank_variation_gt_5,11.0
CF,442295,bootstrap_rank_variation_gt_5,7.0
