statsbomb_player_id,role_family,role_minutes,role_minute_share
524512,CB,16.633333,1.0
389294,UNKNOWN,0.0,0.0
522346,UNKNOWN,0.0,0.0
396748,UNKNOWN,0.0,0.0
396748,MID,2.2497001685381965,0.11924205629633451
396748,GK,16.616966831461802,0.8807579437036654
335508,CF,49.666667000000004,1.0
38718,MID,101.85,1.0
275341,WINGER,76.63333,1.0
387043,UNKNOWN,0.0,0.0
442293,UNKNOWN,0.0,0.0
446355,MID,112.46667,1.0
407506,MID,80.63333,1.0
337496,FB,102.88333,1.0
195772,FB,0.0,0.0
195772,UNKNOWN,0.0,0.0
138935,GK,102.96667,1.0
523973,MID,33.2,1.0
524396,UNKNOWN,0.0,0.0
138936,CF,16.616667,1.0
138853,WINGER,19.683332,1.0
275058,UNKNOWN,0.0,0.0
139556,CB,134.133332,1.0
155705,CF,93.666664,1.0
139008,WINGER,78.51667,1.0
195301,WINGER,26.516666000000004,1.0
38423,UNKNOWN,0.0,0.0
38423,CF,29.544218341530847,0.7191290701915524
38423,FB,11.53911365846915,0.28087092980844763
399158,UNKNOWN,0.0,0.0
31756,UNKNOWN,0.0,0.0
313279,UNKNOWN,0.0,0.0
442100,FB,112.46666999999998,1.0
194809,MID,44.05,1.0
462167,CF,85.30000000000001,1.0
524393,UNKNOWN,0.0,0.0
523298,MID,17.283333,1.0
434523,FB,0.0,0.0
360838,MID,79.433334,1.0
261620,UNKNOWN,0.0,0.0
261620,WINGER,1.51473771291139,0.039258862166476186
261620,FB,37.06859428708861,0.9607411378335238
399559,CF,0.0,0.0
155347,CF,36.8,1.0
161352,WINGER,88.7,0.6240619107689405
161352,MID,53.433334,0.37593808923105965
144331,FB,24.45,1.0
477686,UNKNOWN,0.0,0.0
339278,FB,96.1,1.0
415853,MID,173.61666,1.0
524511,MID,74.85,1.0
409131,WINGER,72.13333,1.0
399624,WINGER,8.1,1.0
154668,MID,179.22698,0.8980807536072257
154668,CB,20.339684000000005,0.10191924639277432
312413,FB,0.2697975198080619,0.022514395393474128
312413,MID,11.713536480191937,0.9774856046065259
523321,UNKNOWN,0.0,0.0
183765,MID,39.433334,1.0
314465,CB,102.96667,1.0
405645,MID,19.116667,1.0
407555,CB,112.46667,1.0
177972,UNKNOWN,0.0,0.0
524002,WINGER,12.933333,1.0
524001,CF,21.583334,1.0
422075,CB,104.95,1.0
399198,UNKNOWN,0.0,0.0
435547,WINGER,32.066666,1.0
524513,UNKNOWN,0.0,0.0
450709,MID,22.916666,1.0
524510,UNKNOWN,0.0,0.0
60514,UNKNOWN,0.0,0.0
