statsbomb_player_id,player_name,role_family,position_text,observations
7183,Moctar Sidi El Hacen El Ide,MID,Right Defensive Midfield,1
7242,Ange-Freddy Plumain,WINGER,Left Wing,1
7378,Yunis Abdelhamid,CB,Left Center Back,1
7550,Mounir Chouiar,WINGER,Left Midfield,1
7717,Rayane Aabid,MID,Left Center Midfield,1
7797,Rodrigo Javier De Paul,MID,Right Defensive Midfield,1
81364,Euclides da Silva Cabral,FB,Right Back,1
8817,Jhon Andrés Córdoba Copete,CF,Right Center Forward,1
8861,Bart Meijers,CB,Left Center Back,1
9253,Moussa Koné,CF,Center Forward,2
