statsbomb_player_id,player_name,role_family,position_text,observations
275341,Yazid Faffa,WINGER,Left Midfield,1
276342,Imad Askar,UNKNOWN,,1
27768,Lisandro Martínez,CB,Left Center Back,1
27886,Alexis Mac Allister,WINGER,Left Midfield,1
28263,Gonzalo Ariel Montiel,FB,Right Back,1
28266,Rafael Santos Borré Maury,CF,Right Center Forward,1
28268,Exequiel Alejandro Palacios,UNKNOWN,,1
28567,Carlos Eccehomo Cuesta Figueroa,CB,Left Center Back,1
28723,Jorge Andrés Carrascal Guardo,MID,Left Center Midfield,1
28728,Lucas Martínez Quarta,UNKNOWN,,1
29201,Nahuel Molina Lucero,FB,Right Back,1
29391,Nassim Ouammou,FB,Left Back,1
29560,Julián Álvarez,CF,Left Center Forward,1
2995,Ángel Fabián Di María Hernández,WINGER,Right Midfield,1
30155,Bilal Ould-Chikh,WINGER,Right Midfield,1
3032,Zinédine Machach,MID,Center Attacking Midfield,1
3090,Nicolás Hernán Otamendi,WINGER,Right Midfield,1
30976,Jhon Jáder Durán Palacio,UNKNOWN,,1
312410,Anass Nouader,UNKNOWN,,1
312413,Soulaimane El Bouchqali,FB,Left Back,1
312935,Amine Azri,WINGER,Right Midfield,1
312936,Hamza Hannouri,CF,Center Forward,1
312938,Yassine Lamine,WINGER,Left Wing,1
313277,Mohamed Chemlal,MID,Left Center Midfield,1
313279,Mohamed Reda Asmama,UNKNOWN,,1
313280,André Yassine Madeira El Khalej,CB,Right Center Back,1
313281,Ayoub El Khayati,UNKNOWN,,1
313283,Tahar Ahmed Madeira El Khalej,CB,Left Center Back,1
313284,Achraf Harmach,MID,Center Attacking Midfield,1
313287,Redouane Ait Lemkadem,FB,Left Back,1
313974,Mohamed El Abdi,FB,Left Back,2
314450,Anass Lamrabat,FB,Left Wing Back,1
314451,Houdaifa El Mahasni,FB,Right Back,1
314452,Zouhair Marour,CB,Left Center Back,1
314456,Hilal Ferdaoussi,UNKNOWN,,1
314460,Ayoub Bouaadli,MID,Left Center Midfield,1
314465,Yassine Amhih,CB,Right Center Back,1
314466,Mohamed Saoud,CB,Center Back,1
31756,Soulyman Allouch,UNKNOWN,,1
317852,Abderahmane El Houasli,GK,Goalkeeper,1
31844,Mohamed Bouchouari,UNKNOWN,,1
323979,Zakaria Fatihi,WINGER,Left Midfield,1
3252,Oussama Haddadi,CB,Left Center Back,2
3302,Nordin Amrabat,WINGER,Right Wing,1
3313,Giovani Lo Celso,MID,Left Center Midfield,1
3319,Yacine Bammou,CF,Center Forward,1
332384,Ismail Al Alami,CB,Left Center Back,1
334695,Mohamed El Badaoui,UNKNOWN,,1
335508,Paul Valère Bassène,CF,Center Forward,2
337496,Haytam Manaout,FB,Right Back,1
338916,Johnstone Omurwa,CB,Left Center Back,1
339278,Chemseddine Knaidil,FB,Left Back,1
348651,Reda Hajji,UNKNOWN,,1
3494,Davinson Sánchez Mina,CB,Right Center Back,1
34952,Soufyan Ahannach,WINGER,Left Wing,1
358748,Abdellah Ait Brahim,WINGER,Right Wing,1
360406,Imad Khannouss,CF,Center Forward,1
360838,Zakaria Ami,MID,Right Center Midfield,1
362445,Badreddine Abyir,GK,Goalkeeper,1
363239,Bilal Soufi,CB,Right Center Back,1
363450,Youssef Riani,CF,Center Forward,1
36951,Babacar Niasse,GK,Goalkeeper,1
380596,Alí El Harrak El Harrak,CF,Center Forward,1
380600,Mouad Goulouss,MID,Center Attacking Midfield,1
381935,Ismail Mihrab,WINGER,Right Midfield,1
38423,Siriki Sanogo,CF,Center Forward,1
386309,Anas Makkaoui,UNKNOWN,,1
386460,Ismail Hrila,UNKNOWN,,1
387043,Khalil Tamrani,UNKNOWN,,1
38718,Enzo Fernandez,MID,Left Defensive Midfield,1
387245,Anass Eddaou,WINGER,Left Wing,1
389294,Nouh Mohamed El Abd,UNKNOWN,,1
393385,Nawfal Chninak,CF,Right Center Forward,1
396748,Youssef Laghzal,MID,Center Defensive Midfield,1
399158,Anas Mkhair,UNKNOWN,,1
