player_id,player_name,team_name,role,dimension,score,unadjusted_score,percentile,confidence,confidence_value,metrics_used,missing_metric_count,quality_flags,research_only,production_ready
314450,Anass Lamrabat,Ittihad Tanger,FB,crossing,13.086415,23.264737,76.595745,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
314451,Houdaifa El Mahasni,FUS Rabat,FB,crossing,14.41742,25.630969,80.851064,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
337496,Haytam Manaout,RSB Berkane,FB,crossing,9.132812,16.236111,55.319149,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
339278,Chemseddine Knaidil,CODM Meknès,FB,crossing,15.65625,27.833334,87.234043,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
405342,Guilherme Ferreira de Oliveira,Wydad Casablanca,FB,crossing,0.0,0.0,7.446809,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
406864,Hamza Malki,Difaâ El Jadida,FB,crossing,10.4375,18.555556,64.893617,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
409454,Ayoub Tine,Renaissance Zemamra,FB,crossing,7.828125,13.916667,48.93617,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
442100,Marouane Ouhrou,Maghreb Fès,FB,crossing,0.0,0.0,7.446809,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
442286,Oussama Daoui,CODM Meknès,FB,crossing,3.914062,6.958334,25.531915,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
442926,Ousmane Diallo,Renaissance Zemamra,FB,crossing,6.523438,11.597222,39.361702,low_research_only,0.5625,key_passes;passes_into_box,0,PARTIAL_DERIVATION_RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
