role,player_id,player_name,team_id,team_name,minutes,prototype_role_score,confidence_level,score_uncertainty,bootstrap_lower_bound,bootstrap_upper_bound,data_quality_warning,single_metric_dimension_warning,small_sample_warning,role_rank,role_percentile
FB,337496,Haytam Manaout,2762,RSB Berkane,1040.9333,47.45234026977532,low,50.04488996438057,21.134259795844176,71.17914976022475,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,16.0,34.78260869565217
FB,339278,Chemseddine Knaidil,25917,CODM Meknès,1806.9502,56.86376027080534,low,27.933707766844826,44.29728413560935,72.23099190245418,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,7.0,73.91304347826086
FB,406864,Hamza Malki,2365,Difaâ El Jadida,1218.2834,38.053301196515775,low,50.32854161187215,14.842575848099491,65.17111745997164,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,21.0,13.043478260869565
FB,442100,Marouane Ouhrou,6995,Maghreb Fès,1878.4333,60.36154374480873,low,36.80559960335008,41.11788919446128,77.92348879781136,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,4.0,86.95652173913044
FB,442286,Oussama Daoui,25917,CODM Meknès,1507.8333,53.23048769173641,low,35.510356753565205,31.59063716917355,67.10099392273875,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,10.0,60.86956521739131
FB,522352,Hamza Fassoukh,36099,KAC Marrakech,1321.8834,45.078531531080934,low,31.66821769083655,30.2701140683034,61.93833175913995,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,18.0,26.08695652173913
FB,523293,Nassim Azzoubairi,36100,US Yacoub El Mansour,1764.2832,58.93028150812842,low,34.01744238612307,40.727867500445164,74.74530988656824,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,5.0,82.6086956521739
FB,523318,Younes El Khafi,2889,Olympique Dcheïra,1192.4167,34.554572962157785,low,20.701270703302555,23.337693809334397,44.03896451263695,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,23.0,4.3478260869565215
FB,81364,Euclides da Silva Cabral,6992,Hassania Agadir,1706.5833,44.70233294772315,low,19.789367388600674,35.30170179255777,55.091069181158446,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight,True,True,19.0,21.73913043478261
GK,138841,Salaheddine Chihab,6995,Maghreb Fès,2015.4667,30.747904998691947,low,24.28210942542292,16.666666666666668,40.94877609208959,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,11.0,16.666666666666664
GK,138950,Mehdi Harrar,2349,Raja Casablanca,2133.3833,36.17141063173851,low,49.55670930617856,8.333333333333332,57.89004263951189,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,8.0,41.66666666666667
GK,138972,Mahdi Benabid,6994,Wydad Casablanca,2228.7834,50.69522827002397,low,24.967620010211817,33.333333333333336,58.30095334354515,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,7.0,50.0
