score_a,score_b,mutual_information
FB_FB_D5,MID_MID_D2,
FB_FB_D5,MID_MID_D4,
FB_FB_D5,MID_MID_D5,
FB_FB_D5,MID_MID_D6,
FB_FB_D5,MID_MID_D7,
FB_FB_D5,WINGER_WINGER_D1,
FB_FB_D5,WINGER_WINGER_D2,
FB_FB_D5,WINGER_WINGER_D3,
FB_FB_D5,WINGER_WINGER_D4,
FB_FB_D5,WINGER_WINGER_D5,
FB_FB_D5,WINGER_WINGER_D6,
FB_FB_D6,FB_FB_D7,0.0
FB_FB_D6,GK_GK_D1,
FB_FB_D6,GK_GK_D2,
FB_FB_D6,GK_GK_D3,
FB_FB_D6,MID_MID_D1,
FB_FB_D6,MID_MID_D2,
FB_FB_D6,MID_MID_D4,
FB_FB_D6,MID_MID_D5,
FB_FB_D6,MID_MID_D6,
FB_FB_D6,MID_MID_D7,
FB_FB_D6,WINGER_WINGER_D1,
FB_FB_D6,WINGER_WINGER_D2,
FB_FB_D6,WINGER_WINGER_D3,
FB_FB_D6,WINGER_WINGER_D4,
FB_FB_D6,WINGER_WINGER_D5,
FB_FB_D6,WINGER_WINGER_D6,
FB_FB_D7,GK_GK_D1,
FB_FB_D7,GK_GK_D2,
FB_FB_D7,GK_GK_D3,
FB_FB_D7,MID_MID_D1,
FB_FB_D7,MID_MID_D2,
FB_FB_D7,MID_MID_D4,
FB_FB_D7,MID_MID_D5,
FB_FB_D7,MID_MID_D6,
FB_FB_D7,MID_MID_D7,
FB_FB_D7,WINGER_WINGER_D1,
FB_FB_D7,WINGER_WINGER_D2,
FB_FB_D7,WINGER_WINGER_D3,
FB_FB_D7,WINGER_WINGER_D4,
FB_FB_D7,WINGER_WINGER_D5,
FB_FB_D7,WINGER_WINGER_D6,
GK_GK_D1,GK_GK_D2,0.005393217893218782
GK_GK_D1,GK_GK_D3,0.0
GK_GK_D1,MID_MID_D1,
GK_GK_D1,MID_MID_D2,
GK_GK_D1,MID_MID_D4,
GK_GK_D1,MID_MID_D5,
GK_GK_D1,MID_MID_D6,
GK_GK_D1,MID_MID_D7,
GK_GK_D1,WINGER_WINGER_D1,
GK_GK_D1,WINGER_WINGER_D2,
GK_GK_D1,WINGER_WINGER_D3,
GK_GK_D1,WINGER_WINGER_D4,
GK_GK_D1,WINGER_WINGER_D5,
GK_GK_D1,WINGER_WINGER_D6,
GK_GK_D2,GK_GK_D3,0.0
GK_GK_D2,MID_MID_D1,
GK_GK_D2,MID_MID_D2,
GK_GK_D2,MID_MID_D4,
GK_GK_D2,MID_MID_D5,
GK_GK_D2,MID_MID_D6,
GK_GK_D2,MID_MID_D7,
GK_GK_D2,WINGER_WINGER_D1,
GK_GK_D2,WINGER_WINGER_D2,
GK_GK_D2,WINGER_WINGER_D3,
GK_GK_D2,WINGER_WINGER_D4,
GK_GK_D2,WINGER_WINGER_D5,
