statsbomb_player_id,player_name,assigned_role,dominant_role,dominant_role_share,lineup_role_minutes,position_examples,season_minutes,threshold_minutes,eligible_for_initial_coefficients
7183,Moctar Sidi El Hacen El Ide,MID,MID,1.0,96.1,Right Defensive Midfield,1722.7499,900.0,True
199612,Abdallah Boukhanfer,UNKNOWN,UNKNOWN,0.0,0.0,,70.26667,,False
254035,Kamal Bilal,UNKNOWN,UNKNOWN,0.0,0.0,,,,False
27768,Lisandro Martínez,CB,CB,1.0,130.51666,Left Center Back,,900.0,False
442094,Soufiane Abaaziz,UNKNOWN,UNKNOWN,0.0,0.0,,1388.0836,,False
312936,Hamza Hannouri,CF,CF,1.0,103.8,Center Forward,1161.1166,750.0,True
138972,Mahdi Benabid,GK,GK,1.0,103.8,Goalkeeper,2228.7834,600.0,True
313281,Ayoub El Khayati,UNKNOWN,UNKNOWN,0.0,0.0,,193.06665,,False
523294,Ilyass Badri,UNKNOWN,UNKNOWN,0.0,0.0,,642.3667,,False
312410,Anass Nouader,UNKNOWN,UNKNOWN,0.0,0.0,,734.19995,,False
138956,Anas Bach,FB,FB,1.0,98.11667,Right Back,1963.4335,900.0,True
407207,Ennaama El Bellali,MID,MID,1.0,144.06667,Left Defensive Midfield; Right Defensive Midfield; Center Defensive Midfield,1060.2168,900.0,True
138990,Yassine Marsile,UNKNOWN,UNKNOWN,0.0,0.0,,866.3,,False
138927,Saad El Morsli,FB,FB,1.0,216.28332999999998,Left Back; Left Wing Back,1579.6667,900.0,True
138895,Abdelfattah Hadraf,WINGER,WINGER,1.0,10.55,Right Midfield,1100.0166,750.0,True
144435,Amine Farhane,UNKNOWN,UNKNOWN,0.0,0.0,,398.6167,,False
419744,Driss El Jabali,CB,CB,1.0,112.46667,Right Center Back,1346.0168,900.0,True
478936,Hafid Id Said,UNKNOWN,UNKNOWN,0.0,0.0,,28.733334,,False
20687,Nicolás Iván González,WINGER,WINGER,0.9881151652237488,63.633335,Right Center Forward; Left Midfield; Left Wing,,750.0,False
29201,Nahuel Molina Lucero,FB,FB,1.0,58.166668,Right Back; Right Wing Back,,900.0,False
523319,Omar Ouddah,MID,MID,1.0,58.7,Right Defensive Midfield,92.583336,900.0,False
20572,Cristian Gabriel Romero,CB,CB,1.0,130.51666,Right Center Back,,900.0,False
363450,Youssef Riani,MULTI_ROLE,CF,0.5582723943485156,145.866668,Center Forward; Left Center Forward; Center Attacking Midfield,1049.4667,,False
28723,Jorge Andrés Carrascal Guardo,UNKNOWN,UNKNOWN,0.0,0.0,Left Center Midfield,,,False
276342,Imad Askar,UNKNOWN,UNKNOWN,0.0,0.0,,,,False
18855,Jhon Janer Lucumí Bonilla,UNKNOWN,UNKNOWN,0.0,0.0,,,,False
139541,Ismael Benktib,UNKNOWN,UNKNOWN,0.0,0.0,,1428.8999,,False
323979,Zakaria Fatihi,WINGER,WINGER,1.0,16.716667,Left Midfield,530.19995,750.0,False
362445,Badreddine Abyir,GK,GK,1.0,104.95,Goalkeeper,2208.4167,600.0,True
338916,Johnstone Omurwa,CB,CB,1.0,84.1,Left Center Back,1145.9666,900.0,True
143505,Mohamed Morabit,MID,MID,1.0,124.59999499999999,Center Attacking Midfield; Right Center Midfield,533.38336,900.0,False
138966,Youssef Belammari,FB,FB,1.0,102.96667,Left Back,728.5,900.0,False
138945,Mohamed Boulacsout,FB,FB,1.0,95.73333000000001,Right Back,1667.3833,900.0,True
477681,Brahim Ait Hammou,WINGER,WINGER,1.0,46.083332000000006,Right Wing,354.1667,750.0,False
28268,Exequiel Alejandro Palacios,UNKNOWN,UNKNOWN,0.0,0.0,,,,False
139574,Mohamed Bentarcha,UNKNOWN,UNKNOWN,0.0,0.0,,1579.2,,False
477679,Redouane Oubidar,MID,MID,1.0,96.683334,Left Defensive Midfield,1254.8667,900.0,True
203027,Walid Rhailouf,MID,MID,0.8810001010899949,162.733334,Right Defensive Midfield; Right Midfield; Center Defensive Midfield,384.56668,900.0,False
203027,Walid Rhailouf,MID,MID,0.8810001010899949,162.733334,Right Defensive Midfield; Right Midfield; Center Defensive Midfield,620.25,900.0,False
138862,Abderrahmane Kassak,MULTI_ROLE,MID,0.6527559984725253,117.01666499999999,Center Attacking Midfield; Left Midfield; Left Center Forward,380.15,,False
138862,Abderrahmane Kassak,MULTI_ROLE,MID,0.6527559984725253,117.01666499999999,Center Attacking Midfield; Left Midfield; Left Center Forward,1027.6167,,False
523287,Ismail Sayad,GK,GK,1.0,98.11667,Goalkeeper,1163.6832,600.0,True
27886,Alexis Mac Allister,MID,MID,0.8323602959196813,101.83333599999999,Left Midfield; Left Defensive Midfield; Left Center Midfield,,900.0,False
522352,Hamza Fassoukh,FB,FB,1.0,206.68332999999998,Right Back; Left Back,1321.8834,900.0,True
139549,Hamza El Janati,MULTI_ROLE,MID,0.6415662609919704,105.133334,Center Attacking Midfield; Left Back; Right Midfield,1405.0834,,False
138860,Youssef Michte,MID,MID,1.0,89.316666,Left Defensive Midfield,1534.3501,900.0,True
81364,Euclides da Silva Cabral,FB,FB,1.0,79.433334,Right Back,1706.5833,900.0,True
142789,Oussama Soukhane,FB,FB,1.0,102.96667,Left Back,1879.2666,900.0,True
195016,Mouad Mouchtanim,MID,MID,1.0,64.316666,Center Attacking Midfield,704.21655,900.0,False
7550,Mounir Chouiar,WINGER,WINGER,1.0,146.0,Left Wing; Left Midfield,1954.4667,750.0,True
138983,Zine Eddine Derrag,MID,MID,1.0,98.11667,Right Defensive Midfield,1000.7,900.0,True
138957,Youssef Limouri,CB,CB,1.0,96.1,Right Center Back,521.18335,900.0,False
363239,Bilal Soufi,CB,CB,1.0,96.316666,Right Center Back,1606.9667,900.0,True
28567,Carlos Eccehomo Cuesta Figueroa,CB,CB,1.0,130.51666,Left Center Back,,900.0,False
314460,Ayoub Bouaadli,MID,MID,1.0,68.933334,Left Center Midfield,178.63333,900.0,False
138958,Mouad Bahsain,CB,CB,1.0,102.96667,Left Center Back,1506.3167,900.0,True
138958,Mouad Bahsain,CB,CB,1.0,102.96667,Left Center Back,515.7833,900.0,False
387245,Anass Eddaou,WINGER,WINGER,1.0,20.966667,Left Wing,691.01666,750.0,False
442926,Ousmane Diallo,FB,FB,1.0,112.46667,Left Back,534.3167,900.0,False
334695,Mohamed El Badaoui,UNKNOWN,UNKNOWN,0.0,0.0,,58.7,,False
334695,Mohamed El Badaoui,UNKNOWN,UNKNOWN,0.0,0.0,,480.63333,,False
477688,Ayoub El Khaffi,MID,MID,1.0,6.9166665,Left Defensive Midfield,546.08325,900.0,False
522350,Mohamed Jemjami,GK,GK,1.0,206.68333,Goalkeeper,1812.0667,600.0,True
16184,Luis Fernando Sinisterra Lucumí,UNKNOWN,UNKNOWN,0.0,0.0,,,,False
314456,Hilal Ferdaoussi,UNKNOWN,UNKNOWN,0.0,0.0,,881.2833,,False
313280,André Yassine Madeira El Khalej,CB,CB,1.0,109.3,Right Center Back,147.75,900.0,False
312938,Yassine Lamine,WINGER,WINGER,1.0,64.03333,Left Wing,477.31668,750.0,False
178342,Ettayb Boukhriss,FB,FB,1.0,46.083332,Right Back,1045.5667,900.0,True
199611,Youssef Mehri,WINGER,WINGER,1.0,157.61667,Right Wing; Left Wing; Right Midfield,1731.6167,750.0,True
194914,Chouaib Faidi,WINGER,WINGER,1.0,25.466666999999998,Right Wing; Left Wing,539.68335,750.0,False
523998,Zakaria Aiada,FB,FB,1.0,109.3,Right Back,241.9,900.0,False
142086,Oussama Hafari,UNKNOWN,UNKNOWN,0.0,0.0,,344.5,,False
140874,Reda Slim,WINGER,WINGER,1.0,24.183332,Right Wing,1318.4001,750.0,True
314451,Houdaifa El Mahasni,FB,FB,1.0,78.51667,Right Back,2082.3667,900.0,True
523308,Adil Khalloufi,MID,MID,1.0,98.11667,Center Defensive Midfield,2093.65,900.0,True
477678,Cheick Keita,CB,CB,1.0,50.599999999999994,Left Center Back,1643.9834,900.0,True
139017,Salah-eddine Benyachou,WINGER,WINGER,1.0,66.36667,Left Wing,1056.6665,750.0,True
141741,Oussama Al Aiz,FB,FB,0.8010229180766905,86.99999700000001,Right Wing Back; Left Back; Right Center Back,255.23334,900.0,False
138989,Mohamed Ferni,GK,GK,1.0,112.46667,Goalkeeper,511.71664,600.0,False
405342,Guilherme Ferreira de Oliveira,FB,FB,1.0,5.05,Left Back; Right Center Back,565.7833,900.0,False
524392,Romuald Dacosta,CF,CF,1.0,80.03333,Center Forward,1442.6,750.0,True
136023,Rodrigue Kossi Fiogbé,FB,FB,1.0,26.25,Right Back,417.11667,900.0,False
332384,Ismail Al Alami,CB,CB,1.0,27.483334,Left Center Back,314.73334,900.0,False
179384,Bouchaib Arrassi,UNKNOWN,UNKNOWN,0.0,0.0,,,,False
