role,player_id,base_rank,mean_bootstrap_rank,average_rank_variation,worst_case_rank_variation,rank_std
FB,337496,16.0,13.74,5.633333333333334,15.0,6.478087582697304
FB,339278,7.0,8.576666666666666,3.49,14.0,4.156325182051094
FB,406864,21.0,18.023333333333333,4.296666666666667,20.0,5.964453417605969
FB,442100,4.0,6.923333333333333,3.4166666666666665,17.0,4.0437559392074025
FB,442286,10.0,10.526666666666667,4.16,12.0,5.080879847260368
FB,522352,18.0,15.933333333333334,3.966666666666667,16.0,4.818674190973217
FB,523293,5.0,7.93,4.07,16.0,4.742721936951128
FB,523318,23.0,20.936666666666667,2.0633333333333335,15.0,2.416357762904752
FB,81364,19.0,16.223333333333333,3.4566666666666666,14.0,3.6667340624190214
MID,10689,7.0,12.556666666666667,8.216666666666667,27.0,9.217192868228517
MID,138860,34.0,32.22,1.78,18.0,3.1904330233142617
MID,138872,15.0,16.05666666666667,3.776666666666667,12.0,4.618574055909677
MID,138873,12.0,12.14,3.64,10.0,4.274103399102639
MID,138983,8.0,11.09,4.283333333333333,18.0,4.642601191077906
MID,139565,21.0,17.926666666666666,6.766666666666667,20.0,8.077464970938884
MID,140872,9.0,11.896666666666667,6.37,24.0,7.713038230904442
MID,141254,14.0,13.293333333333333,3.4466666666666668,12.0,4.158316270186594
MID,143166,16.0,17.173333333333332,7.16,18.0,8.508305339768784
MID,144436,3.0,4.24,1.92,10.0,2.4973028929487975
MID,151743,11.0,12.3,4.193333333333333,18.0,5.349022353082782
MID,194912,30.0,28.446666666666665,2.5,13.0,2.9692665821166124
MID,21648,25.0,23.856666666666666,7.003333333333333,17.0,7.894546753955555
MID,312413,17.0,17.48,5.04,15.0,6.073925851608341
MID,313284,6.0,8.743333333333334,4.503333333333333,22.0,5.709007336784603
MID,407207,31.0,28.883333333333333,2.4566666666666666,10.0,2.3540448834434833
MID,407506,24.0,23.153333333333332,4.56,22.0,6.09098974517346
MID,407852,13.0,12.38,5.233333333333333,13.0,6.192745783127882
MID,415853,19.0,16.893333333333334,4.513333333333334,16.0,5.4535394498121805
MID,416303,18.0,17.12,5.6066666666666665,17.0,7.04777770425273
MID,424979,5.0,7.68,3.8866666666666667,17.0,4.375853476235802
MID,442288,27.0,25.743333333333332,2.09,9.0,2.4585096681084724
MID,442292,22.0,18.653333333333332,3.72,12.0,3.242664304992392
MID,443951,32.0,28.823333333333334,4.4366666666666665,23.0,5.88622241083262
MID,446355,23.0,22.743333333333332,4.036666666666667,17.0,5.128853610057536
MID,450709,29.0,27.64,3.3266666666666667,18.0,4.40853535162057
MID,477679,28.0,26.916666666666668,2.79,15.0,3.639672091273545
MID,477680,10.0,11.576666666666666,5.243333333333333,22.0,6.414666687985333
MID,477682,2.0,4.6866666666666665,3.2733333333333334,29.0,4.659132315715022
MID,523308,1.0,3.026666666666667,2.026666666666667,10.0,2.126270359344183
MID,523973,33.0,30.683333333333334,2.3766666666666665,18.0,3.0121918744524363
MID,523996,20.0,18.01,4.836666666666667,15.0,5.6494502055879785
